event_name,methodName,dataInterface,unprocessed_count,Actionable FP,Actionable Vapi,status
azure-openai-modeling,modeling,MODEL_USAGE_DATA_TYPE,14256251,Create llm type feature with 0 price and reprocess,Need pricing,
openai-modeling,modeling,MODEL_USAGE_DATA_TYPE,9490457,Create llm type feature with 0 price and reprocess,Need pricing,
llm-stream-modeling-completion,modeling-completion,MODEL_USAGE_DATA_TYPE,8956659,Create llm type feature with 0 price and reprocess,Need pricing,
openai-voicemail-detection-gpt-4o-audio-preview,voicemail-detection,MODEL_USAGE_DATA_TYPE,2853467,Create llm type feature with 0 price and reprocess,Need pricing,
custom-llm-modeling,modeling,MODEL_USAGE_DATA_TYPE,2669702,Create llm type feature with 0 price and reprocess,ReferenceCost is 0 in all events so no pricing required,
11labs-synthesizer-eleven_turbo_v2_5,synthesizer,MODEL_USAGE_DATA_TYPE,2255895,need correction in DB for meter and price as per numCharacters,,done
anthropic-modeling,modeling,MODEL_USAGE_DATA_TYPE,1924123,Create llm type feature with 0 price and reprocess,Need pricing,
anthropic-modelling-claude-sonnet-4-20250514,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,867876,change modelling to modeling and reprocess,,
anthropic-modelling-claude-haiku-4-5-20251001,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,772976,change modelling to modeling and reprocess,,
google-modeling,modeling,MODEL_USAGE_DATA_TYPE,696781,Create llm type feature with 0 price and reprocess,Need pricing,
anthropic-modeling-claude-3-7-sonnet-20250219,modeling,MODEL_USAGE_DATA_TYPE,565220,Create llm type feature with 0 price and reprocess,Need pricing,
11labs-synthesizer-eleven_turbo_v2,synthesizer,MODEL_USAGE_DATA_TYPE,556748,need correction in DB for meter and price as per numCharacters,,done
deepgram-synthesizer,synthesizer,DURATION_DATA,520761,,,
openai-voicemail-detection-gpt-4o-audio-preview,voicemail-detection,prompt-model-usage-data,309501,,,
11labs-synthesizer-eleven_flash_v2_5,synthesizer,MODEL_USAGE_DATA_TYPE,229309,need correction in DB for meter and price as per numCharacters,,done
azure-synthesizer,synthesizer,DURATION_DATA,207214,,,
google-voicemail-detection-gemini-2.5-flash,voicemail-detection,prompt-model-usage-data,192125,,,
groq-modeling,modeling,MODEL_USAGE_DATA_TYPE,162865,Create llm type feature with 0 price and reprocess,Need pricing,
openrouter-modeling,modeling,MODEL_USAGE_DATA_TYPE,159518,Create llm type feature with 0 price and reprocess,Need pricing,
11labs-synthesizer-eleven_multilingual_v2,synthesizer,MODEL_USAGE_DATA_TYPE,99350,need correction in DB for meter and price as per numCharacters,,done
deepgram-transcriber,transcriber,DURATION_DATA,89933,,,
anthropic-modelling-claude-sonnet-4-5-20250929,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,83028,change modelling to modeling and reprocess,,
xai-modeling,modeling,MODEL_USAGE_DATA_TYPE,79278,Create llm type feature with 0 price and reprocess,Need pricing,
anthropic-bedrock-modeling,modeling,MODEL_USAGE_DATA_TYPE,70583,Create llm type feature with 0 price and reprocess,Need pricing,
anthropic-vertex-modeling,modeling,MODEL_USAGE_DATA_TYPE,66200,Create llm type feature with 0 price and reprocess,Need pricing,
anthropic-modelling-claude-3-5-sonnet-20240620,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,60284,change modelling to modeling and reprocess,,
anthropic-bedrock-modelling-claude-3-5-sonnet-20240620,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,57254,change modelling to modeling and reprocess,,
cartesia-synthesizer-sonic-2,synthesizer,MODEL_USAGE_DATA_TYPE,55862,need correction in DB for meter and price as per numCharacters,,done
anthropic-vertex-modelling-claude-3-5-sonnet-20240620,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,54985,change modelling to modeling and reprocess,,
anthropic-modelling-claude-3-7-sonnet-20250219,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,45075,change modelling to modeling and reprocess,,
anthropic-modelling-claude-3-5-haiku-20241022,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,43388,change modelling to modeling and reprocess,,
cartesia-synthesizer-sonic-3,synthesizer,MODEL_USAGE_DATA_TYPE,41210,need correction in DB for meter and price as per numCharacters,,done
anthropic-modelling-claude-opus-4-5-20251101,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,32165,change modelling to modeling and reprocess,,
together-ai-modeling,modeling,MODEL_USAGE_DATA_TYPE,28849,Create llm type feature with 0 price and reprocess,Need pricing,
11labs-synthesizer-eleven_flash_v2,synthesizer,MODEL_USAGE_DATA_TYPE,28153,,,
deepgram-synthesizer-aura-2,synthesizer,MODEL_USAGE_DATA_TYPE,21996,,,
cartesia-transcriber,transcriber,DURATION_DATA,15431,,,
anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,13360,change modelling to modeling and reprocess,,
anthropic-modelling-claude-3-5-sonnet-20241022,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,11434,change modelling to modeling and reprocess,,
