id,slug,name,created_at,created_by_email,deactivated_at,deactivated_by_email,as_of_date,effective_date,plan_logical_name,sku_logical_name,component_feature,numerical_value,component_type,units,default_value
30d9b0b4-2a40-473c-8daf-8c2324d773d6,anthropic-voicemail-detection-claude-sonnet-4-5-20251022-promptTokens,,2026-02-04 03:37:26.730225 +00:00,,,,2026-02-04 03:37:26.730225 +00:00,2025-12-01 00:00:00.000000 +00:00,payg-base-plan,anthropic-voicemail-detection-claude-sonnet-4-5-20251022,promptTokens,0.000003,feature-term,,
750d20be-c1b5-479e-844b-2d032429c7e9,anthropic-voicemail-detection-claude-sonnet-4-5-20251022-completionTokens,,2026-02-04 03:37:26.730225 +00:00,,,,2026-02-04 03:37:26.730225 +00:00,2025-12-01 00:00:00.000000 +00:00,payg-base-plan,anthropic-voicemail-detection-claude-sonnet-4-5-20251022,completionTokens,0.000015,feature-term,,
bb1a1699-3fc8-4df5-bd0f-9b0f4264496f,anthropic-voicemail-detection-claude-sonnet-4-5-20251022-cacheReadInputTokens,,2026-02-04 03:37:26.730225 +00:00,,,,2026-02-04 03:37:26.730225 +00:00,2025-12-01 00:00:00.000000 +00:00,payg-base-plan,anthropic-voicemail-detection-claude-sonnet-4-5-20251022,cacheReadInputTokens,0.0000003,feature-term,,
2ccb2bcb-b686-460e-8ed2-6939f2cc1ef3,anthropic-voicemail-detection-claude-sonnet-4-5-20251022-cacheCreationInputTokens,,2026-02-04 03:37:26.730225 +00:00,,,,2026-02-04 03:37:26.730225 +00:00,2025-12-01 00:00:00.000000 +00:00,payg-base-plan,anthropic-voicemail-detection-claude-sonnet-4-5-20251022,cacheCreationInputTokens,0.00000375,feature-term,,
b3fb5a7e-de3c-4eed-a988-82f18a8b8cf1,anthropic-voicemail-detection-claude-sonnet-4-20250514-promptTokens,,2026-02-04 03:37:26.730225 +00:00,,,,2026-02-04 03:37:26.730225 +00:00,2025-12-01 00:00:00.000000 +00:00,payg-base-plan,anthropic-voicemail-detection-claude-sonnet-4-20250514,promptTokens,0.000003,feature-term,,
2ad7ac7f-59ad-416e-8227-28f192365a0b,anthropic-voicemail-detection-claude-sonnet-4-20250514-completionTokens,,2026-02-04 03:37:26.730225 +00:00,,,,2026-02-04 03:37:26.730225 +00:00,2025-12-01 00:00:00.000000 +00:00,payg-base-plan,anthropic-voicemail-detection-claude-sonnet-4-20250514,completionTokens,0.000015,feature-term,,
298999b0-6b69-4e21-b307-1c9274b09540,anthropic-voicemail-detection-claude-sonnet-4-20250514-cacheReadInputTokens,,2026-02-04 03:37:26.730225 +00:00,,,,2026-02-04 03:37:26.730225 +00:00,2025-12-01 00:00:00.000000 +00:00,payg-base-plan,anthropic-voicemail-detection-claude-sonnet-4-20250514,cacheReadInputTokens,0.0000003,feature-term,,
570f75dc-cafe-45e0-b145-50b1f7f34bb2,anthropic-voicemail-detection-claude-sonnet-4-20250514-cacheCreationInputTokens,,2026-02-04 03:37:26.730225 +00:00,,,,2026-02-04 03:37:26.730225 +00:00,2025-12-01 00:00:00.000000 +00:00,payg-base-plan,anthropic-voicemail-detection-claude-sonnet-4-20250514,cacheCreationInputTokens,0.00000375,feature-term,,
a25a6e38-d248-4c06-8550-8a5651642100,anthropic-voicemail-detection-claude-opus-4-5-20251101-promptTokens,,2026-02-04 03:37:26.730225 +00:00,,,,2026-02-04 03:37:26.730225 +00:00,2025-12-01 00:00:00.000000 +00:00,payg-base-plan,anthropic-voicemail-detection-claude-opus-4-5-20251101,promptTokens,0.000005,feature-term,,
09058a96-8e88-41d3-8050-5b56ca726381,anthropic-voicemail-detection-claude-opus-4-5-20251101-completionTokens,,2026-02-04 03:37:26.730225 +00:00,,,,2026-02-04 03:37:26.730225 +00:00,2025-12-01 00:00:00.000000 +00:00,payg-base-plan,anthropic-voicemail-detection-claude-opus-4-5-20251101,completionTokens,0.000025,feature-term,,
