feature_name	event_name	aggregation_type	aggregation_field	price_per_unit
anthropic-bedrock-BEDROCK_LLM-claude-opus-4-5-20251101-completionTokens	anthropic-bedrock-BEDROCK_LLM-claude-opus-4-5-20251101	SUM	completionTokens	0.000025
anthropic-bedrock-BEDROCK_LLM-claude-opus-4-5-20251101-promptTokens	anthropic-bedrock-BEDROCK_LLM-claude-opus-4-5-20251101	SUM	promptTokens	0.000005
anthropic-bedrock-BEDROCK_LLM-completionTokens	anthropic-bedrock-BEDROCK_LLM	SUM	completionTokens	0.000025
anthropic-bedrock-BEDROCK_LLM-promptTokens	anthropic-bedrock-BEDROCK_LLM	SUM	promptTokens	0.000005
anthropic-knowledge-base-claude-3-sonnet-20240229-cacheCreationInputTokens	anthropic-knowledge-base-claude-3-sonnet-20240229	SUM	cacheCreationInputTokens	0.00000375
anthropic-knowledge-base-claude-3-sonnet-20240229-cacheReadInputTokens	anthropic-knowledge-base-claude-3-sonnet-20240229	SUM	cacheReadInputTokens	0.0000003
anthropic-knowledge-base-claude-sonnet-4-6-cacheCreationInputTokens	anthropic-knowledge-base-claude-sonnet-4-6	SUM	cacheCreationInputTokens	0.00000375
anthropic-knowledge-base-claude-sonnet-4-6-cacheReadInputTokens	anthropic-knowledge-base-claude-sonnet-4-6	SUM	cacheReadInputTokens	0.0000003
anthropic-knowledge-base-claude-sonnet-4-6-completionTokens	anthropic-knowledge-base-claude-sonnet-4-6	SUM	completionTokens	0.000015
anthropic-knowledge-base-claude-sonnet-4-6-promptTokens	anthropic-knowledge-base-claude-sonnet-4-6	SUM	promptTokens	0.000003
anthropic-modeling-completion-claude-3-sonnet-20240229-cacheCreationInputTokens	anthropic-modeling-completion-claude-3-sonnet-20240229	SUM	cacheCreationInputTokens	0.00000375
anthropic-modeling-completion-claude-3-sonnet-20240229-cacheReadInputTokens	anthropic-modeling-completion-claude-3-sonnet-20240229	SUM	cacheReadInputTokens	0.0000003
anthropic-modeling-completion-claude-sonnet-4-6-cacheCreationInputTokens	anthropic-modeling-completion-claude-sonnet-4-6	SUM	cacheCreationInputTokens	0.00000375
anthropic-modeling-completion-claude-sonnet-4-6-cacheReadInputTokens	anthropic-modeling-completion-claude-sonnet-4-6	SUM	cacheReadInputTokens	0.0000003
anthropic-modeling-completion-claude-sonnet-4-6-completionTokens	anthropic-modeling-completion-claude-sonnet-4-6	SUM	completionTokens	0.000015
anthropic-modeling-completion-claude-sonnet-4-6-promptTokens	anthropic-modeling-completion-claude-sonnet-4-6	SUM	promptTokens	0.000003
anthropic-voicemail-detection-claude-3-sonnet-20240229-cacheCreationInputTokens	anthropic-voicemail-detection-claude-3-sonnet-20240229	SUM	cacheCreationInputTokens	0.00000375
anthropic-voicemail-detection-claude-3-sonnet-20240229-cacheReadInputTokens	anthropic-voicemail-detection-claude-3-sonnet-20240229	SUM	cacheReadInputTokens	0.0000003
anthropic-voicemail-detection-claude-sonnet-4-6-cacheCreationInputTokens	anthropic-voicemail-detection-claude-sonnet-4-6	SUM	cacheCreationInputTokens	0.00000375
anthropic-voicemail-detection-claude-sonnet-4-6-cacheReadInputTokens	anthropic-voicemail-detection-claude-sonnet-4-6	SUM	cacheReadInputTokens	0.0000003
anthropic-voicemail-detection-claude-sonnet-4-6-completionTokens	anthropic-voicemail-detection-claude-sonnet-4-6	SUM	completionTokens	0.000015
anthropic-voicemail-detection-claude-sonnet-4-6-promptTokens	anthropic-voicemail-detection-claude-sonnet-4-6	SUM	promptTokens	0.000003
google-transcriber-completionTokens	google-transcriber	SUM	completionTokens	0.0000004
google-transcriber-gemini-1.0-pro-completionTokens	google-transcriber-gemini-1.0-pro	SUM	completionTokens	0.0000015
google-transcriber-gemini-1.0-pro-promptTokens	google-transcriber-gemini-1.0-pro	SUM	promptTokens	0.0000005
google-transcriber-gemini-1.5-flash-001-completionTokens	google-transcriber-gemini-1.5-flash-001	SUM	completionTokens	0.0000003
google-transcriber-gemini-1.5-flash-001-promptTokens	google-transcriber-gemini-1.5-flash-001	SUM	promptTokens	0.000000075
google-transcriber-gemini-1.5-flash-002-completionTokens	google-transcriber-gemini-1.5-flash-002	SUM	completionTokens	0.0000003
google-transcriber-gemini-1.5-flash-002-promptTokens	google-transcriber-gemini-1.5-flash-002	SUM	promptTokens	0.000000075
google-transcriber-gemini-1.5-flash-8b-001-completionTokens	google-transcriber-gemini-1.5-flash-8b-001	SUM	completionTokens	0.00000015
google-transcriber-gemini-1.5-flash-8b-001-promptTokens	google-transcriber-gemini-1.5-flash-8b-001	SUM	promptTokens	0.0000000375
google-transcriber-gemini-1.5-flash-8b-completionTokens	google-transcriber-gemini-1.5-flash-8b	SUM	completionTokens	0.00000015
google-transcriber-gemini-1.5-flash-8b-latest-completionTokens	google-transcriber-gemini-1.5-flash-8b-latest	SUM	completionTokens	0.00000015
google-transcriber-gemini-1.5-flash-8b-latest-promptTokens	google-transcriber-gemini-1.5-flash-8b-latest	SUM	promptTokens	0.0000000375
google-transcriber-gemini-1.5-flash-8b-promptTokens	google-transcriber-gemini-1.5-flash-8b	SUM	promptTokens	0.0000000375
google-transcriber-gemini-1.5-flash-latest-completionTokens	google-transcriber-gemini-1.5-flash-latest	SUM	completionTokens	0.0000003
