feature_name,event_name,aggregation_type,aggregation_field,price_per_unit
openai-synthesizer-promptTokens,openai-synthesizer,SUM,promptTokens,0
openai-synthesizer-completionTokens,openai-synthesizer,SUM,completionTokens,0
openai-synthesizer-cachedPromptTokens,openai-synthesizer,SUM,cachedPromptTokens,0
openai-synthesizer-cacheCreationInputTokens,openai-synthesizer,SUM,cacheCreationInputTokens,0
openai-synthesizer-cacheReadInputTokens,openai-synthesizer,SUM,cacheReadInputTokens,0
google-transcriber-gemini-2.0-flash-promptTokens,google-transcriber-gemini-2.0-flash,SUM,promptTokens,0
google-transcriber-gemini-2.0-flash-completionTokens,google-transcriber-gemini-2.0-flash,SUM,completionTokens,0
google-transcriber-gemini-2.0-flash-cachedPromptTokens,google-transcriber-gemini-2.0-flash,SUM,cachedPromptTokens,0
google-transcriber-gemini-2.0-flash-cacheCreationInputTokens,google-transcriber-gemini-2.0-flash,SUM,cacheCreationInputTokens,0
google-transcriber-gemini-2.0-flash-cacheReadInputTokens,google-transcriber-gemini-2.0-flash,SUM,cacheReadInputTokens,0
google-synthesizer-gemini-2.0-flash-promptTokens,google-synthesizer-gemini-2.0-flash,SUM,promptTokens,0
google-synthesizer-gemini-2.0-flash-completionTokens,google-synthesizer-gemini-2.0-flash,SUM,completionTokens,0
google-synthesizer-gemini-2.0-flash-cachedPromptTokens,google-synthesizer-gemini-2.0-flash,SUM,cachedPromptTokens,0
google-synthesizer-gemini-2.0-flash-cacheCreationInputTokens,google-synthesizer-gemini-2.0-flash,SUM,cacheCreationInputTokens,0
google-synthesizer-gemini-2.0-flash-cacheReadInputTokens,google-synthesizer-gemini-2.0-flash,SUM,cacheReadInputTokens,0
google-transcriber-gemini-2.0-flash-lite-promptTokens,google-transcriber-gemini-2.0-flash-lite,SUM,promptTokens,0
google-transcriber-gemini-2.0-flash-lite-completionTokens,google-transcriber-gemini-2.0-flash-lite,SUM,completionTokens,0
google-transcriber-gemini-2.0-flash-lite-cachedPromptTokens,google-transcriber-gemini-2.0-flash-lite,SUM,cachedPromptTokens,0
google-transcriber-gemini-2.0-flash-lite-cacheCreationInputTokens,google-transcriber-gemini-2.0-flash-lite,SUM,cacheCreationInputTokens,0
google-transcriber-gemini-2.0-flash-lite-cacheReadInputTokens,google-transcriber-gemini-2.0-flash-lite,SUM,cacheReadInputTokens,0
google-transcriber-gemini-2.5-flash-promptTokens,google-transcriber-gemini-2.5-flash,SUM,promptTokens,0
google-transcriber-gemini-2.5-flash-completionTokens,google-transcriber-gemini-2.5-flash,SUM,completionTokens,0
google-transcriber-gemini-2.5-flash-cachedPromptTokens,google-transcriber-gemini-2.5-flash,SUM,cachedPromptTokens,0
google-transcriber-gemini-2.5-flash-cacheCreationInputTokens,google-transcriber-gemini-2.5-flash,SUM,cacheCreationInputTokens,0
google-transcriber-gemini-2.5-flash-cacheReadInputTokens,google-transcriber-gemini-2.5-flash,SUM,cacheReadInputTokens,0
google-transcriber-gemini-1.5-flash-promptTokens,google-transcriber-gemini-1.5-flash,SUM,promptTokens,0
google-transcriber-gemini-1.5-flash-completionTokens,google-transcriber-gemini-1.5-flash,SUM,completionTokens,0
google-transcriber-gemini-1.5-flash-cachedPromptTokens,google-transcriber-gemini-1.5-flash,SUM,cachedPromptTokens,0
google-transcriber-gemini-1.5-flash-cacheCreationInputTokens,google-transcriber-gemini-1.5-flash,SUM,cacheCreationInputTokens,0
google-transcriber-gemini-1.5-flash-cacheReadInputTokens,google-transcriber-gemini-1.5-flash,SUM,cacheReadInputTokens,0
openai-synthesizer-promptTokens,openai-synthesizer,SUM,promptTokens,0
openai-synthesizer-completionTokens,openai-synthesizer,SUM,completionTokens,0
openai-synthesizer-cachedPromptTokens,openai-synthesizer,SUM,cachedPromptTokens,0
openai-synthesizer-cacheCreationInputTokens,openai-synthesizer,SUM,cacheCreationInputTokens,0
openai-synthesizer-cacheReadInputTokens,openai-synthesizer,SUM,cacheReadInputTokens,0
google-synthesizer-gemini-2.0-flash-lite-promptTokens,google-synthesizer-gemini-2.0-flash-lite,SUM,promptTokens,0
google-synthesizer-gemini-2.0-flash-lite-completionTokens,google-synthesizer-gemini-2.0-flash-lite,SUM,completionTokens,0
google-synthesizer-gemini-2.0-flash-lite-cachedPromptTokens,google-synthesizer-gemini-2.0-flash-lite,SUM,cachedPromptTokens,0
google-synthesizer-gemini-2.0-flash-lite-cacheCreationInputTokens,google-synthesizer-gemini-2.0-flash-lite,SUM,cacheCreationInputTokens,0
google-synthesizer-gemini-2.0-flash-lite-cacheReadInputTokens,google-synthesizer-gemini-2.0-flash-lite,SUM,cacheReadInputTokens,0
