feature_name,event_name,aggregation_type,aggregation_field,price_per_unit,updated_price_per_unit,cost_sheet
vapi-hosting-fee,vapi-vapi-call-service,SUM,billable_value,0.000000750000000,0.00000083333,
vapi-hosting-fee,vapi-vapi-call-service,SUM,billable_value,0.000000750000000,0.00000083333,
google-modeling-completion-gemini-1.0-pro-cacheCreationInputTokens,google-modeling-completion-gemini-1.0-pro,SUM,cacheCreationInputTokens,0.000000625000000,0.0000006249999999999999,
google-modeling-completion-gemini-3-flash-preview-cacheCreationInputTokens,google-modeling-completion-gemini-3-flash-preview,SUM,cacheCreationInputTokens,0.000000625000000,0.0000006249999999999999,0.000000593750000
google-modeling-completion-gemini-pro-cacheCreationInputTokens,google-modeling-completion-gemini-pro,SUM,cacheCreationInputTokens,0.000000625000000,0.0000006249999999999999,
google-modeling-gemini-1.0-pro-cacheCreationInputTokens,google-modeling-gemini-1.0-pro,SUM,cacheCreationInputTokens,0.000000625000000,0.0000006249999999999999,
google-modeling-gemini-3-flash-preview-cacheCreationInputTokens,google-modeling-gemini-3-flash-preview,SUM,cacheCreationInputTokens,0.000000625000000,0.0000006249999999999999,0.000000593750000
google-modeling-gemini-pro-cacheCreationInputTokens,google-modeling-gemini-pro,SUM,cacheCreationInputTokens,0.000000625000000,0.0000006249999999999999,
speechmatics-transcriber-ar-enhanced,speechmatics-transcriber-ar-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-bg-enhanced,speechmatics-transcriber-bg-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-cs-enhanced,speechmatics-transcriber-cs-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-de-enhanced,speechmatics-transcriber-de-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-en-enhanced,speechmatics-transcriber-en-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-en_es-enhanced,speechmatics-transcriber-en_es-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-es-enhanced,speechmatics-transcriber-es-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-fr-enhanced,speechmatics-transcriber-fr-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-hu-enhanced,speechmatics-transcriber-hu-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-ms-enhanced,speechmatics-transcriber-ms-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-nl-enhanced,speechmatics-transcriber-nl-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-pl-enhanced,speechmatics-transcriber-pl-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-pt-enhanced,speechmatics-transcriber-pt-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-ro-enhanced,speechmatics-transcriber-ro-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-ru-enhanced,speechmatics-transcriber-ru-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-sl-enhanced,speechmatics-transcriber-sl-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-sv-enhanced,speechmatics-transcriber-sv-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-tr-enhanced,speechmatics-transcriber-tr-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
speechmatics-transcriber-yue-enhanced,speechmatics-transcriber-yue-enhanced,SUM,billable_value,0.000000266666667,0.0000002916666666666667,
elevenlabs-transcriber,elevenlabs-transcriber,SUM,billable_value,0.000000111111111,0.000000111667,
anthropic-bedrock-modeling-cacheCreationInputTokens,anthropic-bedrock-modeling,SUM,cacheCreationInputTokens,0.000000000000000,0.00000375,0.000003431250000
anthropic-bedrock-modeling-cachedPromptTokens,anthropic-bedrock-modeling,SUM,cachedPromptTokens,0.000000000000000,0.000003,0.000002745000000
anthropic-bedrock-modeling-cacheReadInputTokens,anthropic-bedrock-modeling,SUM,cacheReadInputTokens,0.000000000000000,0.0000003,0.000000274500000
anthropic-bedrock-modeling-completionTokens,anthropic-bedrock-modeling,SUM,completionTokens,0.000000000000000,0.000015,0.000013725000000
anthropic-bedrock-modeling-promptTokens,anthropic-bedrock-modeling,SUM,promptTokens,0.000000000000000,0.000003,0.000002745000000
anthropic-modeling-cacheCreationInputTokens,anthropic-modeling,SUM,cacheCreationInputTokens,0.000000000000000,0.00000375,0.000003431250000
anthropic-modeling-cachedPromptTokens,anthropic-modeling,SUM,cachedPromptTokens,0.000000000000000,0.000003,0.000002745000000
anthropic-modeling-cacheReadInputTokens,anthropic-modeling,SUM,cacheReadInputTokens,0.000000000000000,0.0000003,0.000000274500000
anthropic-modeling-claude-3-7-sonnet-20250219-cachedPromptTokens,anthropic-modeling-claude-3-7-sonnet-20250219,SUM,cachedPromptTokens,0.000000000000000,0.0000003,0.000000274500000
anthropic-modeling-claude-3-sonnet-20240229-cacheCreationInputTokens,anthropic-modeling-claude-3-sonnet-20240229,SUM,cacheCreationInputTokens,0.000000000000000,0.00000375,0.000003431250000
anthropic-modeling-claude-3-sonnet-20240229-cacheReadInputTokens,anthropic-modeling-claude-3-sonnet-20240229,SUM,cacheReadInputTokens,0.000000000000000,0.0000003,0.000000274500000
anthropic-modeling-claude-haiku-4-5-20251001-cachedPromptTokens,anthropic-modeling-claude-haiku-4-5-20251001,SUM,cachedPromptTokens,0.000000000000000,0.0000001,0.000000091500000
anthropic-modeling-claude-sonnet-4-20250514-cachedPromptTokens,anthropic-modeling-claude-sonnet-4-20250514,SUM,cachedPromptTokens,0.000000000000000,0.0000003,0.000000274500000
anthropic-modeling-claude-sonnet-4-5-20250929-cacheCreationInputTokens,anthropic-modeling-claude-sonnet-4-5-20250929,SUM,cacheCreationInputTokens,0.000000000000000,0.00000375,0.000003431250000
anthropic-modeling-claude-sonnet-4-5-20250929-cachedPromptTokens,anthropic-modeling-claude-sonnet-4-5-20250929,SUM,cachedPromptTokens,0.000000000000000,0.0000003,0.000000274500000
anthropic-modeling-claude-sonnet-4-5-20250929-cacheReadInputTokens,anthropic-modeling-claude-sonnet-4-5-20250929,SUM,cacheReadInputTokens,0.000000000000000,0.0000003,0.000000274500000
anthropic-modeling-claude-sonnet-4-5-20250929-completionTokens,anthropic-modeling-claude-sonnet-4-5-20250929,SUM,completionTokens,0.000000000000000,0.000015,0.000013725000000
anthropic-modeling-claude-sonnet-4-5-20250929-promptTokens,anthropic-modeling-claude-sonnet-4-5-20250929,SUM,promptTokens,0.000000000000000,0.000003,0.000002745000000
anthropic-modeling-claude-sonnet-4-6-cacheCreationInputTokens,anthropic-modeling-claude-sonnet-4-6,SUM,cacheCreationInputTokens,0.000000000000000,0.00000375,0.000003431250000
anthropic-modeling-claude-sonnet-4-6-cacheReadInputTokens,anthropic-modeling-claude-sonnet-4-6,SUM,cacheReadInputTokens,0.000000000000000,0.0000003,0.000000274500000
anthropic-modeling-claude-sonnet-4-6-completionTokens,anthropic-modeling-claude-sonnet-4-6,SUM,completionTokens,0.000000000000000,0.000015,0.000013725000000
anthropic-modeling-claude-sonnet-4-6-promptTokens,anthropic-modeling-claude-sonnet-4-6,SUM,promptTokens,0.000000000000000,0.000003,0.000002745000000
anthropic-modeling-completionTokens,anthropic-modeling,SUM,completionTokens,0.000000000000000,0.000015,0.000013725000000
anthropic-modeling-promptTokens,anthropic-modeling,SUM,promptTokens,0.000000000000000,0.000003,0.000002745000000
anthropic-vertex-modeling-cacheCreationInputTokens,anthropic-vertex-modeling,SUM,cacheCreationInputTokens,0.000000000000000,0.00000375,0.000003431250000
anthropic-vertex-modeling-cachedPromptTokens,anthropic-vertex-modeling,SUM,cachedPromptTokens,0.000000000000000,0.000003,0.000002745000000
anthropic-vertex-modeling-cacheReadInputTokens,anthropic-vertex-modeling,SUM,cacheReadInputTokens,0.000000000000000,0.0000003,0.000000274500000
anthropic-vertex-modeling-completionTokens,anthropic-vertex-modeling,SUM,completionTokens,0.000000000000000,0.000015,0.000013725000000
anthropic-vertex-modeling-promptTokens,anthropic-vertex-modeling,SUM,promptTokens,0.000000000000000,0.000003,0.000002745000000
assemblyai-synthesizer-universal,assemblyai-synthesizer-universal,SUM,billable_value,0.000000000000000,0.0000000416667,
azure-openai-modeling-cacheCreationInputTokens,azure-openai-modeling,SUM,cacheCreationInputTokens,0.000000000000000,0.0000025,0.000002250000000
azure-openai-modeling-cachedPromptTokens,azure-openai-modeling,SUM,cachedPromptTokens,0.000000000000000,0.00000125,0.000001125000000
azure-openai-modeling-cacheReadInputTokens,azure-openai-modeling,SUM,cacheReadInputTokens,0.000000000000000,0.00000125,0.000001125000000
azure-openai-modeling-completionTokens,azure-openai-modeling,SUM,completionTokens,0.000000000000000,0.00001,0.000009000000000
azure-openai-modeling-promptTokens,azure-openai-modeling,SUM,promptTokens,0.000000000000000,0.0000025,0.000002250000000
azure-transcriber,azure-transcriber,SUM,billable_value,0.000000000000000,0.000000278333,
azure-transcriber-v0,azure-synthesizer,SUM,billable_value,0.000000000000000,0.000000278333,
cartesia-synthesizer-sonic-preview,cartesia-synthesizer-sonic-preview,SUM,billable_value,0.000000000000000,0.00003,
cerebras-modeling-cacheCreationInputTokens,cerebras-modeling,SUM,cacheCreationInputTokens,0.000000000000000,0.00000085,
cerebras-modeling-cachedPromptTokens,cerebras-modeling,SUM,cachedPromptTokens,0.000000000000000,0.00000085,
cerebras-modeling-cacheReadInputTokens,cerebras-modeling,SUM,cacheReadInputTokens,0.000000000000000,0.00000085,
cerebras-modeling-completionTokens,cerebras-modeling,SUM,completionTokens,0.000000000000000,0.0000012,
cerebras-modeling-promptTokens,cerebras-modeling,SUM,promptTokens,0.000000000000000,0.00000085,
deepinfra-modeling-cacheCreationInputTokens,deepinfra-modeling,SUM,cacheCreationInputTokens,0.000000000000000,0.00000035,
deepinfra-modeling-cachedPromptTokens,deepinfra-modeling,SUM,cachedPromptTokens,0.000000000000000,0.00000035,
deepinfra-modeling-cacheReadInputTokens,deepinfra-modeling,SUM,cacheReadInputTokens,0.000000000000000,0.00000035,
deepinfra-modeling-completionTokens,deepinfra-modeling,SUM,completionTokens,0.000000000000000,0.0000004,
deepinfra-modeling-promptTokens,deepinfra-modeling,SUM,promptTokens,0.000000000000000,0.00000035,
