targetItemType,method_name,provider_name,model_name,event_count
call,voicemail-detection,google,gemini-2.5-flash,3387301
call,modeling,azure-openai,,3243514
call,modeling,openai,,2400160
call,modeling-completion,llm-stream,,2148816
call,vapi-call-service,vapi,,2075108
call,synthesizer,deepgram,,1745719
call,synthesizer,11labs,eleven_turbo_v2_5,1245168
call,modeling,anthropic,claude-3-7-sonnet-20250219,804320
call,voicemail-detection,openai,gpt-4o-audio-preview,751599
call,modeling,custom-llm,,537719
call,modeling,anthropic,,455505
call,transcriber,deepgram,,352679
call,synthesizer,11labs,eleven_turbo_v2,322690
call,BEDROCK_LLM,anthropic,claude-sonnet-4-20250514,230935
call,modeling,google,,216000
call,transcriber,cartesia,,210329
call,synthesizer,11labs,eleven_flash_v2_5,171373
call,BEDROCK_LLM,anthropic,claude-haiku-4-5-20251001,160124
call,synthesizer,11labs,eleven_multilingual_v2,144313
call,synthesizer,azure,,97204
call,synthesizer,11labs,eleven_flash_v2,86281
call,synthesizer,cartesia,sonic-3,59272
call,audio-recording,vapi,,46814
call,vapi-transport,vapi,,46806
call,transcriber,krisp,krisp,46801
call,modeling,anthropic,claude-haiku-4-5-20251001,36848
call,synthesizer,deepgram,aura-2,32548
call,synthesizer,cartesia,sonic-2,28906
call,BEDROCK_LLM,anthropic,claude-3-5-sonnet-20240620,18617
call,modeling,anthropic-bedrock,,18159
call,BEDROCK_LLM,anthropic-bedrock,claude-3-5-sonnet-20240620,17623
call,modeling,anthropic-vertex,,17294
call,modeling,groq,,17168
call,modeling,openrouter,,17151
call,BEDROCK_LLM,anthropic,claude-sonnet-4-5-20250929,17014
call,BEDROCK_LLM,anthropic-vertex,claude-3-5-sonnet-20240620,16983
call,modeling,xai,,16195
call,synthesizer,11labs,,16014
call,synthesizer,assemblyai,universal,14306
call,synthesizer,minimax,,12789
call,video-recording,vapi,,12587
call,BEDROCK_LLM,anthropic,claude-3-5-haiku-20241022,9721
call,BEDROCK_LLM,anthropic,claude-3-7-sonnet-20250219,9554
call,BEDROCK_LLM,anthropic,claude-opus-4-5-20251101,7443
call,synthesizer,orpheus,,6971
call,transcriber,assemblyai,universal,6843
call,transcriber,azure,,6478
call,knowledge-base,google,gemini-2.0-flash,4648
call,synthesizer,openai,,4514
call,modeling,together-ai,,4292
call,synthesizer,google,gemini-2.0-flash,3936
call,synthesizer,elevenlabs,,3297
call,synthesizer,cartesia,sonic-english,3273
call,synthesizer,11labs,eleven_monolingual_v1,3070
call,modeling,anthropic,claude-sonnet-4-20250514,2947
call,synthesizer,openai,tts-1,2560
call,synthesizer,openai,gpt-4o-mini-tts,1867
call,BEDROCK_LLM,anthropic,claude-opus-4-20250514,1416
call,synthesizer,hume,octave,1343
call,transcriber,elevenlabs,,1181
call,transcriber,openai,,998
call,synthesizer,deepgram,aura,939
call,synthesizer,rime-ai,,742
call,transcriber,speechmatics,ar,724
call,BEDROCK_LLM,anthropic,us.anthropic.claude-3-7-sonnet-20250219-v1:0,570
call,synthesizer,gladia,,565
call,synthesizer,google,gemini-2.5-flash,542
call,transcriber,google,gemini-2.0-flash,520
call,synthesizer,cartesia,sonic-multilingual,436
call,synthesizer,hume,octave2,431
call,transcriber,google,gemini-2.5-flash,422
call,modeling,deep-seek,,383
call,transcriber,speechmatics,en,367
call,BEDROCK_LLM,anthropic,claude-3-5-sonnet-20241022,294
call,knowledge-base,google,gemini-2.5-flash,288
call,BEDROCK_LLM,anthropic-bedrock,claude-3-5-sonnet-20241022,286
call,BEDROCK_LLM,anthropic,claude-3-haiku-20240307,281
call,BEDROCK_LLM,anthropic-vertex,claude-3-5-sonnet-20241022,279
call,modeling,cerebras,,246
call,modeling,anthropic,claude-sonnet-4-5-20250929,213
call,transcriber,google,gemini-2.0-flash-lite,196
call,transcriber,talkscriber,,166
call,synthesizer,google,gemini-2.0-flash-lite,160
call,synthesizer,playht,PlayHT2.0-turbo,160
call,transcriber,speechmatics,es,154
call,transcriber,gladia,,130
call,synthesizer,openai,tts-1-hd,130
call,BEDROCK_LLM,anthropic-bedrock,claude-sonnet-4-20250514,120
call,transcriber,speechmatics,fr,111
call,transcriber,speechmatics,de,110
call,BEDROCK_LLM,anthropic,claude-3-opus-20240229,94
call,BEDROCK_LLM,anthropic-bedrock,claude-opus-4-5-20251101,89
call,knowledge-base,google,gemini-2.0-flash-lite,81
call,synthesizer,lmnt,,73
call,transcriber,speechmatics,ru,71
call,synthesizer,rime-ai,mistv2,66
call,transcriber,speechmatics,pl,62
call,synthesizer,cartesia,sonic,39
call,synthesizer,inworld,,35
call,transcriber,google,gemini-1.5-pro,30
call,BEDROCK_LLM,anthropic-bedrock,claude-haiku-4-5-20251001,27
call,BEDROCK_LLM,anthropic-vertex,claude-opus-4-5-20251101,27
call,modeling,mistral,,27
call,transcriber,speechmatics,hu,18
call,synthesizer,google,gemini-1.5-pro,16
call,synthesizer,rime-ai,v1,14
call,synthesizer,neuphonic,neu_hq,13
call,synthesizer,google,gemini-1.5-flash,12
call,transcriber,speechmatics,bg,9
call,transcriber,speechmatics,en_es,9
call,synthesizer,playht,Play3.0-mini,8
call,BEDROCK_LLM,anthropic-vertex,claude-sonnet-4-20250514,8
call,transcriber,speechmatics,ro,7
call,synthesizer,neuphonic,neu_fast,7
call,transcriber,speechmatics,sv,7
call,synthesizer,rime-ai,mist,6
call,synthesizer,sesame,,5
call,synthesizer,hume,,5
call,smallest-call-service,vapi,,4
call,modeling,anthropic,claude-3-5-haiku-20241022,4
call,transcriber,speechmatics,cs,4
call,BEDROCK_LLM,anthropic-bedrock,claude-sonnet-4-5-20250929,4
call,transcriber,speechmatics,yue,4
call,transcriber,speechmatics,ms,3
call,BEDROCK_LLM,anthropic-bedrock,claude-3-7-sonnet-20250219,3
call,transcriber,speechmatics,tr,2
call,transcriber,speechmatics,sl,2
call,modeling,anthropic,claude-opus-4-5-20251101,2
