Provider,Model/Service,Model/Service Corrected,ServiceType,DurationCostPerSecond,CharCost/M,PromptTokenCostPerMillion,CompletionTokenCostPerMillion,CachedPromptTokenCostPerMillion,CacheWriteTokenCostPerMillion,CacheReadTokenCostPerMillion
OpenAI,gpt-5.2,gpt-5.2,LLM,,0,1.75,14,0.175,,
OpenAI,gpt-5.1,gpt-5.1,LLM,,0,1.25,10,0.125,,
OpenAI,gpt-5,gpt-5,LLM,,0,1.25,10,0.125,,
OpenAI,gpt-5-mini,gpt-5-mini,LLM,,0,0.25,2,0.025,,
OpenAI,gpt-5-nano,gpt-5-nano,LLM,,0,0.05,0.4,0.005,,
OpenAI,gpt-4.1,gpt-4.1,LLM,,0,2,8,0.5,,
OpenAI,gpt-4.1-mini,gpt-4.1-mini,LLM,,0,0.4,1.6,0.1,,
OpenAI,gpt-4.1-nano,gpt-4.1-nano,LLM,,0,0.1,0.4,0.025,,
OpenAI,gpt-4o,gpt-4o,LLM,,0,2.5,10,,,
OpenAI,gpt-4o-2024-05-13,gpt-4o-2024-05-13,LLM,,0,5,15,,,
OpenAI,gpt-4o-2024-08-06,gpt-4o-2024-08-06,LLM,,0,2.5,10,,,
OpenAI,gpt-4o-2024-11-20,gpt-4o-2024-11-20,LLM,,0,2.5,10,,,
OpenAI,gpt-4o-mini,gpt-4o-mini,LLM,,0,0.15,0.6,,,
OpenAI,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,LLM,,0,0.15,0.6,,,
OpenAI,o3,o3,LLM,,0,2,8,,,
OpenAI,o3-mini,o3-mini,LLM,,0,1.1,4.4,,,
OpenAI,o4-mini,o4-mini,LLM,,0,1.1,4.4,,,
OpenAI,gpt-4-turbo,gpt-4-turbo,LLM,,0,10,30,,,
OpenAI,gpt-4-turbo-2024-04-09,gpt-4-turbo-2024-04-09,LLM,,0,10,30,,,
OpenAI,gpt-4-turbo-preview,gpt-4-turbo-preview,LLM,,0,10,30,,,
OpenAI,gpt-4-0125-preview,gpt-4-0125-preview,LLM,,0,10,30,,,
OpenAI,gpt-4-1106-preview,gpt-4-1106-preview,LLM,,0,10,30,,,
OpenAI,gpt-4,gpt-4,LLM,,0,30,60,,,
OpenAI,gpt-4-0613,gpt-4-0613,LLM,,0,30,60,,,
OpenAI,gpt-3.5-turbo,gpt-3.5-turbo,LLM,,0,0.5,1.5,,,
OpenAI,gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,LLM,,0,0.5,1.5,,,
OpenAI,gpt-3.5-turbo-1106,gpt-3.5-turbo-1106,LLM,,0,1,2,,,
